2859	10/1/2017	14	15	19	31	34	35	3	0	0
2858	7/1/2017	5	6	9	17	24	31	7	0	0
2857	3/1/2017	1	3	6	27	29	33	7	0	0
2850	10/12/2016	8	9	15	21	26	29	3	0	1
2849	6/12/2016	2	5	9	13	26	29	2	0	0
2848	3/12/2016	6	16	20	25	26	27	6	0	0
2842	12/11/2016	2	14	16	18	32	37	3	0	0
2841	8/11/2016	4	11	12	26	28	29	6	0	0
2840	5/11/2016	3	9	13	16	22	34	6	0	0
2839	1/11/2016	12	18	20	21	29	35	4	0	0
2833	10/10/2016	3	8	17	20	22	30	3	2	0
2832	8/10/2016	1	9	10	21	24	32	1	0	0
2831	5/10/2016	9	11	14	16	27	37	1	0	0
2830	1/10/2016	14	20	23	25	26	35	3	0	0
2824	10/9/2016	5	7	10	13	24	33	7	0	0
2823	6/9/2016	7	13	14	28	29	35	6	0	0
2822	3/9/2016	1	4	16	26	28	37	5	0	0
2815	9/8/2016	6	8	9	14	16	17	4	0	0
2814	6/8/2016	1	25	34	35	36	37	2	0	0
2813	2/8/2016	7	26	28	30	31	34	1	0	0
2807	12/7/2016	6	14	18	26	29	36	7	0	0
2806	9/7/2016	1	2	5	16	24	34	7	0	0
2805	5/7/2016	7	12	18	22	32	36	3	0	0
2804	2/7/2016	3	7	10	21	33	35	2	1	0
2798	12/6/2016	1	20	23	24	26	32	7	0	0
2797	7/6/2016	8	9	21	22	26	37	6	0	0
2796	4/6/2016	5	8	17	31	32	37	7	0	0
2789	10/5/2016	5	6	10	20	26	29	3	0	1
2788	7/5/2016	1	9	20	25	27	31	4	0	0
2787	3/5/2016	5	22	25	33	35	36	1	0	0
2786	1/5/2016	2	6	8	14	29	34	3	0	0
2781	12/4/2016	2	7	10	18	24	26	5	0	1
2780	9/4/2016	5	8	11	20	29	36	4	0	0
2779	5/4/2016	4	8	16	20	21	36	3	0	1
2778	2/4/2016	3	15	26	28	32	33	4	1	0
2772	12/3/2016	1	5	14	21	27	30	7	0	0
2771	8/3/2016	5	19	23	25	30	31	3	0	0
2770	5/3/2016	1	2	7	8	9	26	2	0	1
2769	1/3/2016	7	15	17	19	27	30	4	0	0
2763	9/2/2016	2	10	14	15	21	29	2	1	0
2762	6/2/2016	1	4	11	19	30	32	4	0	0
2761	2/2/2016	1	13	19	22	34	35	6	0	0
2755	12/1/2016	1	4	5	16	21	29	1	0	0
2754	9/1/2016	3	12	14	24	32	34	6	0	1
2753	5/1/2016	3	15	17	20	21	37	1	0	0
2752	2/1/2016	1	13	15	30	31	32	2	0	0
2017	10/3/2009	5	11	15	28	30	34	2	0	0
2016	7/3/2009	1	2	10	14	17	21	1	0	0
